ID,Hour,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1,1600,0,0,1.000,0.000,0.000
1,2,1599,1,0,0.999,0.001,0.000
1,3,1593,7,0,0.996,0.004,0.000
1,4,1577,23,0,0.986,0.014,0.000
1,5,1552,48,0,0.970,0.030,0.000
1,6,1513,87,0,0.946,0.054,0.000
1,7,1463,137,0,0.914,0.086,0.000
2,1,1600,0,0,1.000,0.000,0.000
2,2,1599,1,0,0.999,0.001,0.000
2,3,1593,7,0,0.996,0.004,0.000
2,4,1578,22,0,0.986,0.014,0.000
2,5,1564,36,0,0.978,0.022,0.000
2,6,1549,51,0,0.968,0.032,0.000
2,7,1534,66,0,0.959,0.041,0.000
3,1,1600,0,0,1.000,0.000,0.000
3,2,1599,1,0,0.999,0.001,0.000
3,3,1593,7,0,0.996,0.004,0.000
3,4,1577,23,0,0.986,0.014,0.000
3,5,1552,48,0,0.970,0.030,0.000
3,6,1513,87,0,0.946,0.054,0.000
3,7,1463,137,0,0.914,0.086,0.000
4,1,1600,0,0,1.000,0.000,0.000
4,2,1599,1,0,0.999,0.001,0.000
4,3,1593,7,0,0.996,0.004,0.000
4,4,1577,23,0,0.986,0.014,0.000
4,5,1552,48,0,0.970,0.030,0.000
4,6,1514,86,0,0.946,0.054,0.000
4,7,1481,119,0,0.926,0.074,0.000
5,1,1600,0,0,1.000,0.000,0.000
5,2,1599,1,0,0.999,0.001,0.000
5,3,1595,5,0,0.997,0.003,0.000
5,4,1585,15,0,0.991,0.009,0.000
5,5,1571,29,0,0.982,0.018,0.000
5,6,1550,50,0,0.969,0.031,0.000
5,7,1523,77,0,0.952,0.048,0.000
