ID,Hour,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1,392826,0,0,1.000,0.000,0.000
1,2,392825,1,0,1.000,0.000,0.000
1,3,392640,186,0,1.000,0.000,0.000
1,4,392427,399,0,0.999,0.001,0.000
1,5,392179,647,0,0.998,0.002,0.000
1,6,391445,1381,0,0.996,0.004,0.000
1,7,389581,3245,0,0.992,0.008,0.000
1,8,387803,5023,0,0.987,0.013,0.000
1,9,385653,7173,0,0.982,0.018,0.000
1,10,382365,10461,0,0.973,0.027,0.000
1,11,377914,14912,0,0.962,0.038,0.000
1,12,374885,17941,0,0.954,0.046,0.000
1,13,372813,20013,0,0.949,0.051,0.000
1,14,370940,21886,0,0.944,0.056,0.000
1,15,369020,23806,0,0.939,0.061,0.000
1,16,366822,26004,0,0.934,0.066,0.000
1,17,365434,27392,0,0.930,0.070,0.000
1,18,364437,28389,0,0.928,0.072,0.000
1,19,363289,29537,0,0.925,0.075,0.000
1,20,361998,30828,0,0.922,0.078,0.000
1,21,360730,32096,0,0.918,0.082,0.000
1,22,359700,33126,0,0.916,0.084,0.000
1,23,358373,34453,0,0.912,0.088,0.000
1,24,356892,35934,0,0.909,0.091,0.000
1,25,355165,37661,0,0.904,0.096,0.000
1,26,353478,39348,0,0.900,0.100,0.000
2,1,392826,0,0,1.000,0.000,0.000
2,2,392825,1,0,1.000,0.000,0.000
2,3,391500,1326,0,0.997,0.003,0.000
2,4,386548,6278,0,0.984,0.016,0.000
2,5,381745,11081,0,0.972,0.028,0.000
2,6,378766,14060,0,0.964,0.036,0.000
2,7,376585,16241,0,0.959,0.041,0.000
2,8,374106,18720,0,0.952,0.048,0.000
2,9,371290,21536,0,0.945,0.055,0.000
2,10,369412,23414,0,0.940,0.060,0.000
2,11,367902,24924,0,0.937,0.063,0.000
2,12,366035,26791,0,0.932,0.068,0.000
2,13,364037,28789,0,0.927,0.073,0.000
2,14,362282,30544,0,0.922,0.078,0.000
2,15,360966,31860,0,0.919,0.081,0.000
2,16,359389,33437,0,0.915,0.085,0.000
2,17,357760,35066,0,0.911,0.089,0.000
2,18,355875,36951,0,0.906,0.094,0.000
2,19,354040,38786,0,0.901,0.099,0.000
2,20,352532,40294,0,0.897,0.103,0.000
2,21,350615,42211,0,0.893,0.107,0.000
2,22,348579,44247,0,0.887,0.113,0.000
2,23,346275,46551,0,0.881,0.119,0.000
2,24,344292,48534,0,0.876,0.124,0.000
2,25,342355,50471,0,0.872,0.128,0.000
2,26,340668,52158,0,0.867,0.133,0.000
3,1,392826,0,0,1.000,0.000,0.000
3,2,392825,1,0,1.000,0.000,0.000
3,3,392372,454,0,0.999,0.001,0.000
3,4,391281,1545,0,0.996,0.004,0.000
3,5,390200,2626,0,0.993,0.007,0.000
3,6,389363,3463,0,0.991,0.009,0.000
3,7,388501,4325,0,0.989,0.011,0.000
3,8,387586,5240,0,0.987,0.013,0.000
3,9,386230,6596,0,0.983,0.017,0.000
3,10,384973,7853,0,0.980,0.020,0.000
3,11,383926,8900,0,0.977,0.023,0.000
3,12,383299,9527,0,0.976,0.024,0.000
3,13,382779,10047,0,0.974,0.026,0.000
3,14,382339,10487,0,0.973,0.027,0.000
3,15,382292,10534,0,0.973,0.027,0.000
3,16,382291,10535,0,0.973,0.027,0.000
3,17,382290,10536,0,0.973,0.027,0.000
3,18,382290,10536,0,0.973,0.027,0.000
3,19,382290,10536,0,0.973,0.027,0.000
3,20,382289,10537,0,0.973,0.027,0.000
3,21,382289,10537,0,0.973,0.027,0.000
3,22,382289,10537,0,0.973,0.027,0.000
3,23,382288,10538,0,0.973,0.027,0.000
3,24,382287,10539,0,0.973,0.027,0.000
3,25,382287,10539,0,0.973,0.027,0.000
3,26,382287,10539,0,0.973,0.027,0.000
4,1,392826,0,0,1.000,0.000,0.000
4,2,392825,1,0,1.000,0.000,0.000
4,3,390550,2276,0,0.994,0.006,0.000
4,4,383203,9623,0,0.976,0.024,0.000
4,5,377293,15533,0,0.960,0.040,0.000
4,6,370751,22075,0,0.944,0.056,0.000
4,7,366024,26802,0,0.932,0.068,0.000
4,8,360984,31842,0,0.919,0.081,0.000
4,9,355615,37211,0,0.905,0.095,0.000
4,10,351909,40917,0,0.896,0.104,0.000
4,11,349266,43560,0,0.889,0.111,0.000
4,12,347400,45426,0,0.884,0.116,0.000
4,13,345246,47580,0,0.879,0.121,0.000
4,14,343304,49522,0,0.874,0.126,0.000
4,15,341763,51063,0,0.870,0.130,0.000
4,16,340520,52306,0,0.867,0.133,0.000
4,17,339104,53722,0,0.863,0.137,0.000
4,18,337268,55558,0,0.859,0.141,0.000
4,19,335290,57536,0,0.854,0.146,0.000
4,20,333871,58955,0,0.850,0.150,0.000
4,21,332165,60661,0,0.846,0.154,0.000
4,22,330936,61890,0,0.842,0.158,0.000
4,23,329322,63504,0,0.838,0.162,0.000
4,24,327518,65308,0,0.834,0.166,0.000
4,25,325578,67248,0,0.829,0.171,0.000
4,26,323937,68889,0,0.825,0.175,0.000
5,1,392826,0,0,1.000,0.000,0.000
5,2,392825,1,0,1.000,0.000,0.000
5,3,392805,21,0,1.000,0.000,0.000
