Hour,AVGNonBurned,AVGBurned,AVGHarvested,STDBurned,STDHarvested,MaxNonBurned,MaxBurned,MinNonBurned,MinBurned,%AVGNonBurned,%AVGBurned,%AVGHarvested
1,392826.000,0.000,0.000,0.000,0.000,392826,0,392826,0,1.000,0.000,0.000
2,392825.000,1.000,0.000,0.000,0.000,392825,1,392825,1,1.000,0.000,0.000
3,391973.400,852.600,0.000,941.405,0.000,392805,2276,390550,21,0.998,0.002,0.000
4,388364.750,4461.250,0.000,4279.822,0.000,392427,9623,383203,399,0.989,0.011,0.000
5,385354.250,7471.750,0.000,7025.405,0.000,392179,15533,377293,647,0.981,0.019,0.000
6,382581.250,10244.750,0.000,9644.846,0.000,391445,22075,370751,1381,0.974,0.026,0.000
7,380172.750,12653.250,0.000,11119.562,0.000,389581,26802,366024,3245,0.968,0.032,0.000
8,377619.750,15206.250,0.000,12807.801,0.000,387803,31842,360984,5023,0.961,0.039,0.000
9,374697.000,18129.000,0.000,14477.274,0.000,386230,37211,355615,6596,0.954,0.046,0.000
10,372164.750,20661.250,0.000,15121.391,0.000,384973,40917,351909,7853,0.947,0.053,0.000
11,369752.000,23074.000,0.000,15172.554,0.000,383926,43560,349266,8900,0.941,0.059,0.000
12,367904.750,24921.250,0.000,15380.156,0.000,383299,45426,347400,9527,0.937,0.063,0.000
13,366218.750,26607.250,0.000,15940.957,0.000,382779,47580,345246,10047,0.932,0.068,0.000
14,364716.250,28109.750,0.000,16469.228,0.000,382339,49522,343304,10487,0.928,0.072,0.000
15,363510.250,29315.750,0.000,16956.096,0.000,382292,51063,341763,10534,0.925,0.075,0.000
16,362255.500,30570.500,0.000,17348.612,0.000,382291,52306,340520,10535,0.922,0.078,0.000
17,361147.000,31679.000,0.000,17914.337,0.000,382290,53722,339104,10536,0.919,0.081,0.000
18,359967.500,32858.500,0.000,18710.837,0.000,382290,55558,337268,10536,0.916,0.084,0.000
19,358727.250,34098.750,0.000,19555.798,0.000,382290,57536,335290,10536,0.913,0.087,0.000
20,357672.500,35153.500,0.000,20146.283,0.000,382289,58955,333871,10537,0.911,0.089,0.000
21,356449.750,36376.250,0.000,20894.822,0.000,382289,60661,332165,10537,0.907,0.093,0.000
22,355376.000,37450.000,0.000,21498.212,0.000,382289,61890,330936,10537,0.905,0.095,0.000
23,354064.500,38761.500,0.000,22271.033,0.000,382288,63504,329322,10538,0.901,0.099,0.000
24,352747.250,40078.750,0.000,23077.999,0.000,382287,65308,327518,10539,0.898,0.102,0.000
25,351346.250,41479.750,0.000,23921.804,0.000,382287,67248,325578,10539,0.894,0.106,0.000
26,350092.500,42733.500,0.000,24636.550,0.000,382287,68889,323937,10539,0.891,0.109,0.000
